des(0,8043,3842)
(378,"intersection_1_t25",461)
(379,"intersection_1_t21",437)
(379,"intersection_1_t23",436)
(380,"intersection_1_t21",461)
(380,"intersection_1_t23",460)
(380,"intersection_1_t25",462)
(381,"intersection_1_t23",442)
(381,"intersection_1_t25",463)
(382,"intersection_1_t25",464)
(383,"intersection_1_t23",449)
(384,"intersection_1_t21",458)
(384,"intersection_1_t23",455)
(384,"intersection_1_t25",465)
(385,"intersection_1_t23",457)
(385,"intersection_1_t25",466)
(386,"intersection_1_t21",462)
(386,"intersection_1_t23",461)
(387,"intersection_1_t33",467)
(387,"intersection_1_t35",468)
(388,"intersection_1_t33",469)
(388,"intersection_1_t35",470)
(389,"intersection_1_t33",471)
(389,"intersection_1_t35",472)
(390,"intersection_1_t33",473)
(390,"intersection_1_t35",474)
(391,"intersection_1_t31",469)
(391,"intersection_1_t33",475)
(392,"intersection_1_t31",476)
(392,"intersection_1_t33",477)
(393,"intersection_1_t31",473)
(393,"intersection_1_t33",478)
(394,"intersection_1_t31",479)
(394,"intersection_1_t33",480)
(395,"intersection_1_t31",481)
(395,"intersection_1_t33",482)
(395,"intersection_1_t35",483)
(396,"intersection_1_t31",484)
(396,"intersection_1_t33",485)
(397,"intersection_1_t31",468)
(398,"intersection_1_t31",470)
(399,"intersection_1_t31",486)
(400,"intersection_1_t31",472)
(401,"intersection_1_t31",474)
(402,"intersection_1_t31",487)
(403,"intersection_1_t31",488)
(403,"intersection_1_t33",489)
(404,"intersection_1_t31",490)
(405,"intersection_1_t31",491)
(405,"intersection_1_t33",483)
(406,"intersection_1_t31",492)
(407,"intersection_1_t33",493)
(407,"intersection_1_t35",494)
(408,"intersection_1_t31",495)
(408,"intersection_1_t33",496)
(408,"intersection_1_t35",497)
(409,"intersection_1_t31",498)
(410,"intersection_1_t31",494)
(411,"intersection_1_t31",499)
(412,"intersection_1_t31",500)
(412,"intersection_1_t33",501)
(413,"intersection_1_t31",497)
(413,"intersection_1_t33",495)
(414,"intersection_1_t31",502)
(414,"intersection_1_t33",503)
(415,"intersection_1_t31",504)
(415,"intersection_1_t33",505)
(416,"intersection_1_t31",506)
(416,"intersection_1_t33",507)
(416,"intersection_1_t35",508)
(417,"intersection_1_t33",509)
(417,"intersection_1_t35",510)
(418,"intersection_1_t31",511)
(418,"intersection_1_t33",512)
(418,"intersection_1_t35",513)
(419,"intersection_1_t33",514)
(419,"intersection_1_t35",515)
(420,"intersection_1_t31",512)
(420,"intersection_1_t33",516)
(420,"intersection_1_t35",511)
(421,"intersection_1_t31",514)
(421,"intersection_1_t33",517)
(422,"intersection_1_t31",518)
(422,"intersection_1_t33",519)
(422,"intersection_1_t35",520)
(423,"intersection_1_t31",521)
(423,"intersection_1_t33",522)
(424,"intersection_1_t31",523)
(424,"intersection_1_t35",467)
(425,"intersection_1_t31",477)
(425,"intersection_1_t35",476)
(426,"intersection_1_t31",524)
(426,"intersection_1_t35",471)
(427,"intersection_1_t31",480)
(427,"intersection_1_t35",479)
(428,"intersection_1_t31",525)
(428,"intersection_1_t35",526)
(429,"intersection_1_t31",527)
(429,"intersection_1_t35",528)
(430,"intersection_1_t31",529)
(430,"intersection_1_t35",530)
(431,"intersection_1_t31",531)
(431,"intersection_1_t35",532)
(432,"intersection_1_t31",533)
(433,"intersection_1_t31",534)
(434,"intersection_1_t31",535)
(434,"intersection_1_t35",507)
(435,"intersection_1_t31",536)
(435,"intersection_1_t35",509)
(436,"intersection_1_t31",519)
(436,"intersection_1_t35",518)
(437,"intersection_1_t31",522)
(437,"intersection_1_t35",521)
(438,"intersection_1_t31",537)
(438,"intersection_1_t33",538)
(439,"intersection_1_t31",539)
(439,"intersection_1_t33",540)
(439,"intersection_1_t35",501)
(440,"intersection_1_t31",541)
(441,"intersection_1_t31",542)
(441,"intersection_1_t33",543)
(442,"intersection_1_t33",544)
(442,"intersection_1_t35",545)
(443,"intersection_1_t31",544)
(443,"intersection_1_t33",546)
(444,"intersection_1_t31",547)
(444,"intersection_1_t33",548)
(444,"intersection_1_t35",549)
(445,"intersection_1_t31",550)
(445,"intersection_1_t33",551)
(446,"intersection_1_t31",552)
(446,"intersection_1_t33",553)
(446,"intersection_1_t35",554)
(447,"intersection_1_t31",555)
